ad,Andorra La Vella,07,20430,42.5,1.5166667
ad,Canillo,02,3292,42.5666667,1.6
ad,Encamp,03,11224,42.5333333,1.5833333
ad,La Massana,04,7211,42.55,1.5166667
ad,Les Escaldes,08,15854,42.5,1.5333333
ad,Ordino,05,2553,42.55,1.5333333
ad,Sant Julia De Loria,06,8020,42.4666667,1.5
ae,Abu Dhabi,01,603687,24.4666667,54.3666667
ae,Dubai,03,1137376,25.2522222,55.28
ae,Sharjah,06,543942,25.3622222,55.3911111
af,Acin,18,15098,34.081667,70.668333
af,Anar Darreh,06,10023,32.762222,61.6525
af,Andarab,03,27034,35.634444,69.259444
af,Asadabad,34,48400,34.8725,71.146111
af,Asmar,34,15708,35.033056,71.357778
af,Aybak,32,47877,36.265278,68.016667
af,Azrow,36,12526,34.173333,69.645278
af,Baglan,03,108481,36.126944,68.705278
af,Bagrami,13,30256,34.494167,69.274722
af,Baraki Barak,17,22305,33.9675,68.948611
af,Cah Ab,26,23424,37.399444,69.815278
af,Carikar,22,53693,35.013611,69.171389
af,Ciras,33,12778,35.416667,65.983333
af,Dawlatabad,07,13603,36.437222,64.922778
af,Dawlatabad,30,17674,36.988333,66.8225
af,Deh Rawud,39,25683,32.621944,65.460278
af,Eskasem,01,12120,36.709167,71.573889
af,Farah,06,43574,32.374444,62.116389
af,Gardan Diwal,27,6815,34.508056,68.255278
af,Gardez,36,103732,33.599444,69.225278
af,Gazni,08,143049,33.550833,68.4225
af,Geresk,10,43638,31.818889,64.564722
af,Herat,11,272880,34.346944,62.198333
af,Jalalabad,18,200389,34.426111,70.451389
af,Jurm,01,12121,36.866667,70.834444
af,Kabul,13,3043589,34.516667,69.183333
af,Kholm,30,64954,36.695278,67.698056
af,Khowst,37,96246,33.338056,69.920278
af,Kuhestan,11,12087,34.653889,61.197778
af,Kusk,11,16952,33.296111,61.952778
af,Lar Gerd,31,11635,35.489722,66.663611
af,Mehtar Lam,35,17350,34.671389,70.209444
af,Mirabad,19,14160,30.435278,61.834722
af,Nahrin,03,22389,36.065278,69.133889
af,Orgun,29,10665,32.901389,69.153333
af,Pagman,13,49173,34.5875,68.953333
af,Panjab,05,13471,34.3875,67.023333
af,Qandahar,23,391230,31.6125,65.709444
af,Qarchi Gak,30,8942,37.035556,66.788889
af,Qarqin,07,15023,37.405833,66.074167
af,Qarqin,31,15023,37.403611,66.0525
af,Qunduz,24,161943,36.7275,68.864722
af,Rostaq,26,25644,37.1275,69.830556
af,Rudbar,19,11034,30.15,62.6
af,Sahrak,09,15967,34.108333,64.303333
af,Sangin,10,13579,32.073333,64.833889
af,Sharan,29,7368,33.146667,68.791667
af,Shibarghan,31,55658,36.667222,65.753611
af,Sindand,11,29273,33.301389,62.148056
af,Tagab,14,6400,34.855278,69.649722
af,Taloqan,26,64275,36.734167,69.539722
af,Tir Pol,11,6979,34.595278,61.266944
af,Tokzar,33,12021,35.948889,66.42
af,Uruzgan,39,13400,32.926389,66.631667
af,Zaranj,19,33894,30.966667,61.883333
ag,All Saints,06,2526,17.05,-61.8
ag,Carlisle,03,831,17.1333333,-61.8
ag,Codrington,01,682,17.6333333,-61.8333333
ag,Freetown,08,623,17.05,-61.7
ag,Liberta,06,1668,17.0333333,-61.7833333
ag,Old Road,05,623,17.0166667,-61.8333333
ag,Parham,07,969,17.0833333,-61.7666667
ag,Swetes,06,727,17.05,-61.8
ai,The Valley,00,1379,18.2166667,-63.05
al,Bajram Curri,47,7967,42.3572222,20.0730556
al,Ballsh,44,10361,40.5988889,19.7347222
al,Berat,40,47606,40.7058333,19.9522222
al,Bilisht,46,7114,40.6275,20.99
al,Bulqize,41,11212,41.4916667,20.2219444
al,Burrel,41,15539,41.6102778,20.0088889
al,Cerrik,43,14269,41.0316667,19.9758333
al,Corovode,40,14046,40.5041667,20.2272222
al,Delvine,51,3916,39.9511111,20.0977778
al,Durres,42,122034,41.3230556,19.4413889
al,Elbasan,43,100903,41.1125,20.0822222
al,Erseke,46,7890,40.3377778,20.6788889
al,Fier,44,59719,40.7238889,19.5561111
al,Fierze,47,742,42.2647222,20.0269444
al,Fierze,49,742,42.2605556,20.0169444
al,Fushe-Arrez,49,2438,42.0622222,20.0166667
al,Fushe-Kruje,42,10458,41.4783333,19.7177778
al,Gjirokaster,45,23437,40.0758333,20.1388889
al,Gramsh,43,11556,40.8697222,20.1844444
al,Himare,51,4596,40.1016667,19.7447222
al,Kamze,50,11026,41.3816667,19.7602778
al,Kavaje,50,29354,41.1855556,19.5569444
al,Kelcyre,45,2486,40.3130556,20.1894444
al,Kerrabe,50,1177,41.2155556,19.9713889
al,Klos,41,683,41.4844444,20.1080556
al,Konispol,51,1349,39.6588889,20.1813889
al,Koplik,49,4078,42.2136111,19.4363889
al,Korce,46,58259,40.6186111,20.7808333
al,Kraste,41,1168,41.4225,20.205
al,Kruje,42,21286,41.5091667,19.7927778
al,Kucove,40,18166,40.8002778,19.9166667
al,Kukes,47,17972,42.0769444,20.4219444
al,Kurbnesh,48,1429,41.7797222,20.0836111
al,Lac,48,24825,41.6355556,19.7130556
al,Leskovik,46,2655,40.1513889,20.5972222
al,Lezhe,48,18695,41.7836111,19.6436111
al,Libohove,45,3651,40.0311111,20.2630556
al,Librazhd,43,12691,41.1794444,20.315
al,Lushnje,44,41423,40.9419444,19.705
al,Maliq,46,3735,40.7058333,20.6997222
al,Mamurras,48,8282,41.5775,19.6922222
al,Memaliaj,45,4951,40.3458333,19.9791667
al,Milot,48,2157,41.6802778,19.7244444
al,Orikum,51,2604,40.3252778,19.4713889
al,Patos,44,22679,40.6833333,19.6194444
al,Peqin,43,7513,41.0461111,19.7511111
al,Permet,45,10686,40.2336111,20.3516667
al,Perrenjas,43,4015,41.0730556,20.5488889
al,Peshkopi,41,15261,41.685,20.4288889
al,Pogradec,46,25758,40.9025,20.6525
al,Polican,40,10663,40.6122222,20.0980556
al,Puke,49,6495,42.0444444,19.8997222
al,Roskovec,44,6657,40.7375,19.7022222
al,Rreshen,48,10064,41.7675,19.8755556
al,Rrogozhine,50,5620,41.0763889,19.6652778
al,Rubik,48,2332,41.7744444,19.7861111
al,Sarande,51,15147,39.8755556,20.0052778
al,Selenice,51,6912,40.5305556,19.6358333
al,Shengjin,48,2698,41.8136111,19.5938889
al,Shijak,42,14138,41.3455556,19.5672222
al,Shkoder,49,89102,42.0675,19.5130556
al,Tepelene,45,11955,40.2958333,20.0191667
al,Tirana,50,374801,41.3275,19.8188889
al,Ulze,41,600,41.6827778,19.8933333
